"Submission Date",Age,Gender,"Total Years of Programming Experience","How many years of experience do you have programming in... >> Java","How many years of experience do you have programming in... >> Python","How many years of experience do you have programming in... >> C++","How many years of experience do you have programming in... >> C","Are you currently a student?","Evaluation - Solution 1  >> Readability","Evaluation - Solution 1  >> Maintainability","Evaluation - Solution 1  >> Extensibility","Evaluation - Solution 1  >> Scalability","Evaluation - Solution 1  >> Recognition","Evaluation - Solution 1  >> Convincingness","Evaluation - Solution 1  >> Pleasingness","Evaluation - Solution 1  >> Completeness","Evaluation - Solution 1  >> Gracefulness","Evaluation - Solution 1  >> Harmoniousness","Evaluation - Solution 1  >> Sustainability","Evaluation - Solution 1  >> Overall Elegance","Comments on this solution?","Evaluation - Solution 2 >> Readability","Evaluation - Solution 2 >> Maintainability","Evaluation - Solution 2 >> Extensibility","Evaluation - Solution 2 >> Scalability","Evaluation - Solution 2 >> Recognition","Evaluation - Solution 2 >> Convincingness","Evaluation - Solution 2 >> Pleasingness","Evaluation - Solution 2 >> Completeness","Evaluation - Solution 2 >> Gracefulness","Evaluation - Solution 2 >> Harmoniousness","Evaluation - Solution 2 >> Sustainability","Evaluation - Solution 2 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 3 >> Readability","Evaluation - Solution 3 >> Maintainability","Evaluation - Solution 3 >> Extensibility","Evaluation - Solution 3 >> Scalability","Evaluation - Solution 3 >> Recognition","Evaluation - Solution 3 >> Convincingness","Evaluation - Solution 3 >> Pleasingness","Evaluation - Solution 3 >> Completeness","Evaluation - Solution 3 >> Gracefulness","Evaluation - Solution 3 >> Harmoniousness","Evaluation - Solution 3 >> Sustainability","Evaluation - Solution 3 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 4 >> Readability","Evaluation - Solution 4 >> Maintainability","Evaluation - Solution 4 >> Extensibility","Evaluation - Solution 4 >> Scalability","Evaluation - Solution 4 >> Recognition","Evaluation - Solution 4 >> Convincingness","Evaluation - Solution 4 >> Pleasingness","Evaluation - Solution 4 >> Completeness","Evaluation - Solution 4 >> Gracefulness","Evaluation - Solution 4 >> Harmoniousness","Evaluation - Solution 4 >> Sustainability","Evaluation - Solution 4 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 5 >> Readability","Evaluation - Solution 5 >> Maintainability","Evaluation - Solution 5 >> Extensibility","Evaluation - Solution 5 >> Scalability","Evaluation - Solution 5 >> Recognition","Evaluation - Solution 5 >> Convincingness","Evaluation - Solution 5 >> Pleasingness","Evaluation - Solution 5 >> Completeness","Evaluation - Solution 5 >> Gracefulness","Evaluation - Solution 5 >> Harmoniousness","Evaluation - Solution 5 >> Sustainability","Evaluation - Solution 5 >> Overall Elegance","Comments on this solution?","Submission IP","Last Update Date","Submission ID"
"Oct 7, 2023","18 - 25",Male,"3 - 5","1 - 2","3 - 5","< 1","3 - 5","Yes - college graduate","Very much",Mostly,"Very much",Somewhat,"Very much",Mostly,"Very much",Mostly,Mostly,Mostly,"A little","Very much",,Somewhat,Mostly,"Very much","Very much","Very much","Very much","Very much",Mostly,Mostly,Mostly,Somewhat,"Very much","This is an example of Python being a bit strange however, I'd get if someone thought this unreadable at first","Very much","Very much",Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,"Very much",Mostly,Mostly,"A little","A little",Somewhat,"Very much","A little",Somewhat,Somewhat,"A little",Mostly,,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,134.88.135.111,,5725269521112854138
"Sep 26, 2023","18 - 25",Male,"3 - 5","< 1","1 - 2",None,"< 1","Yes - college undergraduate","Very much","Very much",Mostly,"A little","Very much",Somewhat,"A little","Very much","A little",Mostly,Somewhat,Somewhat,,"Very much","Very much",Somewhat,Somewhat,"Very much",Mostly,Somewhat,"Very much",Somewhat,Mostly,Somewhat,Mostly,,Mostly,Mostly,"Very much","Very much",Mostly,Mostly,Somewhat,"Very much",Somewhat,"A little","Very much",Mostly,,Mostly,Somewhat,Mostly,Somewhat,Mostly,Somewhat,"A little",Mostly,"A little","Not at All",Somewhat,Somewhat,,Mostly,Mostly,Mostly,Somewhat,Mostly,Somewhat,"A little",Mostly,"A little",Somewhat,Somewhat,Somewhat,"This is the same as one of the earlier ones. I think it was #1?",134.88.143.5,,5715797595344349569
"Sep 24, 2023","35 - 49",Male,10+,"5 - 10","< 1","1 - 2","< 1",No,"Very much",Somewhat,"Not at All","Not at All","Very much","A little",Somewhat,Somewhat,Somewhat,"Very much","A little","A little","Correct, but ineffecient solution with wasted computations. int will not allow for very large numbers, no way of modifying max number or multiples to find.  Why is EulerSolution included here?",Mostly,"Not at All","Not at All",Somewhat,Mostly,Somewhat,Somewhat,"Very much",Somewhat,"A little","A little","A little","code will not execute if imported as a module, not easily modified to use different numbers",Somewhat,"Not at All","Not at All",Somewhat,"A little",Somewhat,"A little",Mostly,"Not at All",Somewhat,Somewhat,"A little","Runtime string should be for debugging only, not included in output string.  Two loops is wasteful computing.  No way to easily extend this to other scenarios without an entire rewrite","Very much","A little","A little",Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Somewhat,Mostly,"Tracking the numbers that are multiples of both 3 and 5 is interesting, but using unnecessary calculations and memory to store when you could have just used an ""else"" for the mod 5 case.  No need to check each number 3 times.  If new modular numbers are introduced in the future, following this convention is not maintainable.","Very much",Somewhat,"Not at All","Not at All","Very much","A little",Somewhat,Somewhat,Somewhat,"Very much","A little",Somewhat,"Nearly identical to solution 1.  Needs a ""new"" keyword to instantiate the multiples() class to call a non-static method.  Some wasted math in there, and does not provide support for additional multiples",73.68.203.24,,5713869974238150246
"Sep 17, 2023","35 - 49",Male,10+,10+,None,10+,10+,No,"Very much","Very much","Very much","A little","Very much","Very much","Very much","Very much",Mostly,"Very much","A little",Mostly,,"Very much","Very much","Very much","A little",Mostly,"Very much","Very much","Very much",Mostly,"Very much","A little",Mostly,,"A little",Somewhat,Mostly,Somewhat,Somewhat,"Very much",Mostly,"Very much",Mostly,"Very much",Somewhat,Mostly,,Mostly,"Very much","Very much","A little",Mostly,"Very much",Mostly,"Very much",Somewhat,"Very much","A little",Somewhat,,Mostly,"Very much","Very much","A little","Very much",Mostly,"Very much",Mostly,Mostly,Mostly,"A little",Somewhat,"Comments would be helpful",74.104.133.99,,5707795729939602013
"Aug 29, 2023","18 - 25",Male,"5 - 10","1 - 2","5 - 10","< 1","< 1",,Mostly,"Very much",Somewhat,"A little","Very much",Somewhat,"A little","A little","A little","A little",,Somewhat,,Mostly,Mostly,Mostly,"Very much","Very much",Somewhat,Mostly,Mostly,Somewhat,Mostly,,Mostly,,Somewhat,"A little",Somewhat,"A little","A little","Not at All","A little",Somewhat,Somewhat,"A little",,"Not at All",,Mostly,Somewhat,"A little","A little",Mostly,"A little",Mostly,Somewhat,Mostly,Mostly,,Somewhat,,"Very much",Mostly,Somewhat,Mostly,Mostly,Mostly,"A little",Somewhat,Somewhat,"Very much",,Mostly,,104.183.139.113,,5691643903111948706
"Jul 27, 2023","18 - 25",Male,"3 - 5","1 - 2","3 - 5",None,"< 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.217.156.174,,5662903514714931429
"Jul 26, 2023","35 - 49",Male,10+,None,"5 - 10",None,None,,Mostly,Mostly,"A little","A little",Mostly,"A little","A little",Somewhat,Somewhat,Mostly,"A little",Somewhat,,"A little","A little","A little",Somewhat,Somewhat,Somewhat,Somewhat,"A little",Somewhat,Mostly,"A little","A little",,"A little","A little","A little",Mostly,"A little",Somewhat,"A little",Somewhat,"A little",Somewhat,Mostly,"A little",,"A little","A little","A little",Mostly,"A little",Somewhat,"A little",Somewhat,"A little","A little",Mostly,"A little",,Somewhat,"A little","A little","A little",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"A little",Somewhat,,62.16.147.205,,5661772745022160068
"Jul 18, 2023","35 - 49",Male,10+,"< 1","5 - 10","< 1","1 - 2",,"Very much","Very much",,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,Somewhat,Mostly,Mostly,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,Mostly,Mostly,Somewhat,Mostly,Mostly,Mostly,Somewhat,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,,Somewhat,"A little","A little","A little","A little","A little","A little",Somewhat,"A little","A little","A little","A little",,Somewhat,Somewhat,Mostly,Somewhat,Somewhat,Somewhat,"A little",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,162.229.180.78,,5655228088707055310
"Jul 17, 2023",50+,Female,10+,"1 - 2","< 1","3 - 5","1 - 2",,Mostly,"Very much",Mostly,Somewhat,"Very much","Very much","A little",,"Very much","A little",Mostly,Mostly,,Mostly,Mostly,Mostly,Somewhat,"Very much",Mostly,"Very much",Mostly,Somewhat,Mostly,Somewhat,Mostly,,"A little","A little","A little",Somewhat,Somewhat,"A little","A little",Somewhat,"A little","A little","A little","A little",,Somewhat,"A little","A little","A little",Somewhat,"Not at All",,"Not at All","Not at All","Not at All","Not at All","Not at All","I was assuming correctness, but this will add values too many times.","Very much","Very much",Mostly,Mostly,"Very much",Mostly,Somewhat,"Very much",Somewhat,Somewhat,Mostly,Mostly,,129.72.170.58,,5654168818506215276
"Jul 14, 2023","18 - 25",Female,"< 1",None,"< 1",None,None,,"Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,"Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,"Very much",Mostly,Mostly,Mostly,"Very much","Very much",Mostly,"Very much","Very much","Very much","Very much","Very much",,"Very much","Very much",Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,"Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,110.235.225.21,,5651986011251228401
