"Submission Date","Submission ID","Submission IP","Evaluation - Solution 1  >> Readability","Evaluation - Solution 1  >> Maintainability","Evaluation - Solution 1  >> Extensibility","Evaluation - Solution 1  >> Scalability","Evaluation - Solution 1  >> Recognition","Evaluation - Solution 1  >> Convincingness","Evaluation - Solution 1  >> Pleasingness","Evaluation - Solution 1  >> Completeness","Evaluation - Solution 1  >> Gracefulness","Evaluation - Solution 1  >> Harmoniousness","Evaluation - Solution 1  >> Sustainability","Evaluation - Solution 1  >> Overall Elegance","Comments on this solution?","Evaluation - Solution 2 >> Readability","Evaluation - Solution 2 >> Maintainability","Evaluation - Solution 2 >> Extensibility","Evaluation - Solution 2 >> Scalability","Evaluation - Solution 2 >> Recognition","Evaluation - Solution 2 >> Convincingness","Evaluation - Solution 2 >> Pleasingness","Evaluation - Solution 2 >> Completeness","Evaluation - Solution 2 >> Gracefulness","Evaluation - Solution 2 >> Harmoniousness","Evaluation - Solution 2 >> Sustainability","Evaluation - Solution 2 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 3 >> Readability","Evaluation - Solution 3 >> Maintainability","Evaluation - Solution 3 >> Extensibility","Evaluation - Solution 3 >> Scalability","Evaluation - Solution 3 >> Recognition","Evaluation - Solution 3 >> Convincingness","Evaluation - Solution 3 >> Pleasingness","Evaluation - Solution 3 >> Completeness","Evaluation - Solution 3 >> Gracefulness","Evaluation - Solution 3 >> Harmoniousness","Evaluation - Solution 3 >> Sustainability","Evaluation - Solution 3 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 4 >> Readability","Evaluation - Solution 4 >> Maintainability","Evaluation - Solution 4 >> Extensibility","Evaluation - Solution 4 >> Scalability","Evaluation - Solution 4 >> Recognition","Evaluation - Solution 4 >> Convincingness","Evaluation - Solution 4 >> Pleasingness","Evaluation - Solution 4 >> Completeness","Evaluation - Solution 4 >> Gracefulness","Evaluation - Solution 4 >> Harmoniousness","Evaluation - Solution 4 >> Sustainability","Evaluation - Solution 4 >> Overall Elegance","Comments on this solution?","Evaluation - Solution 5 >> Readability","Evaluation - Solution 5 >> Maintainability","Evaluation - Solution 5 >> Extensibility","Evaluation - Solution 5 >> Scalability","Evaluation - Solution 5 >> Recognition","Evaluation - Solution 5 >> Convincingness","Evaluation - Solution 5 >> Pleasingness","Evaluation - Solution 5 >> Completeness","Evaluation - Solution 5 >> Gracefulness","Evaluation - Solution 5 >> Harmoniousness","Evaluation - Solution 5 >> Sustainability","Evaluation - Solution 5 >> Overall Elegance","Comments on this solution?"
"Oct 15, 2023",5732081705115755735,134.88.137.115,Somewhat,Mostly,"Very much","Very much","Very much",Mostly,Somewhat,Mostly,Somewhat,Mostly,Mostly,Mostly,,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,Somewhat,Mostly,"Very much","Very much","Very much",Mostly,Somewhat,Mostly,Somewhat,Mostly,Mostly,Mostly,,Mostly,"Very much","Very much","Very much","Very much",Mostly,Somewhat,Mostly,Somewhat,Mostly,Mostly,Somewhat,,"A little",Mostly,Mostly,Mostly,Mostly,Somewhat,"A little",Mostly,Somewhat,Mostly,Mostly,Somewhat,
"Oct 14, 2023",5731345872094529367,24.60.90.2,"Very much","Very much","Very much",Somewhat,"Very much","Very much","Very much","Very much","Very much","Very much",Somewhat,Mostly,,"Very much","Very much","Very much","Very much","Very much","Very much",Mostly,"Very much","Very much","Very much",Somewhat,Mostly,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Somewhat,,"A little",Somewhat,Somewhat,Mostly,Mostly,"Very much",Mostly,Mostly,Mostly,Somewhat,Somewhat,Mostly,,"A little","A little","A little",Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"A little","A little",
"Oct 7, 2023",5725274501112330609,134.88.135.111,"Very much","Very much","Very much","Very much",Mostly,"Very much","Very much","Very much","Very much","Very much","Very much","Very much",,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,"Very much",Mostly,"Very much",Mostly,Mostly,Mostly,,Somewhat,Mostly,Somewhat,Mostly,Somewhat,Somewhat,Mostly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,Somewhat,Mostly,Mostly,Mostly,"A little",Somewhat,Mostly,Somewhat,Somewhat,Somewhat,Mostly,Mostly,,"A little",Somewhat,Somewhat,Somewhat,"A little","A little","A little",Somewhat,"A little",Somewhat,Somewhat,"A little",
"Sep 26, 2023",5715809095348543723,134.88.143.5,Mostly,Mostly,Mostly,"A little",Somewhat,Mostly,"A little",Somewhat,Somewhat,"A little",Somewhat,Somewhat,"Don't like the constant declaration of Z",Mostly,Mostly,Somewhat,Somewhat,Mostly,Mostly,Mostly,Somewhat,Somewhat,"Very much",Somewhat,Mostly,"""Computers are fast, so we can implement this solution directly without any clever math."" But clever math is much more elegant.",Mostly,Somewhat,Mostly,Somewhat,Somewhat,Mostly,"A little",Somewhat,"A little","A little",Somewhat,"A little","I don't like the importing of the time library.",Mostly,Somewhat,Somewhat,Mostly,"Very much",Mostly,Somewhat,Mostly,Mostly,Somewhat,Somewhat,Mostly,"I liked this solution",Somewhat,"A little",Somewhat,"Very much","Not at All","A little",Somewhat,"A little",Somewhat,"Not at All",Somewhat,"A little","Too many imports, also, I cannot figure out why there is an outer loop?"
"Sep 26, 2023",5715556774233241102,73.68.203.24,"Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much",Mostly,"Very much",Mostly,"Very much","I would recommend putting the max number into a CONST and creating a method for isOdd() that could be modified seaprately if requirements change.","Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much",Mostly,Mostly,"Very much","Very much","Very much","Code will not execute if imported as a module.",Mostly,Mostly,Mostly,Mostly,"Very much","Very much",Mostly,Mostly,Mostly,"Very much","Very much",Mostly,"This solution will increment the current number in the sequence before checking for ever to add it to the total.  In this scenario, it will be ok since 1 is odd anyway, but if the requirements change, the loop needs to change to accommodate all numbers in the sequence.  Also, runtime should be moved to debug-only since this is not printing exactly what is asked for.",Somewhat,Somewhat,Mostly,Mostly,"A little",Mostly,Mostly,Somewhat,Mostly,Mostly,Mostly,Somewhat,"Variable values should be declared and assigned using ""int x = 0;"".  The loop should be checking for <= range so as to include the final number in the range in the calculation.  Additionally, this colution is difficult to read as the code reads as though it's checking the NEXT number in the sequence rather than the current number, and then incrementing all values before adding the sum.  While mathematically correct, it is difficult to follow the logic.  Having the calculations in a method with an argument is good, but this will require argument validation.","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All",Somewhat,"Not at All","Not at All","Not at All","Not at All","Holy include statements!!! Way too many for this purpose.  No user direction despite user prompts.  Outer while loop is iterating over something with no connection to the logic checks.  Setting initial sum to 2 and skipping the first number in the sequence makes this difficult to debug/extend.  It would also be nice to group all of the variable assignments together without a cin >> in the middle."
"Sep 17, 2023",5707809639938107507,74.104.133.99,"Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much","Very much",,Mostly,"Very much","Very much","Very much",Mostly,"Very much","Very much","Very much","Very much","Very much","Very much",Mostly,,"A little",Somewhat,Somewhat,"Very much","A little",Mostly,"A little","Very much",Mostly,Mostly,"Very much","A little","Maybe people with more python experience would find this more elegant, but the code is too cryptic for my eyes",Somewhat,Mostly,Mostly,"Very much",Mostly,"Very much",Mostly,Somewhat,"Very much","Very much","Very much",Somewhat,"More comments would be better","Not at All","A little","A little",Mostly,"Not at All","Not at All","Not at All",Somewhat,"A little","A little",Mostly,"A little",
"Jul 27, 2023",5662905434712585351,50.217.156.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2023",5661791335027159648,62.16.147.205,"A little","A little",Somewhat,"A little","A little",Somewhat,Somewhat,"A little","A little",Somewhat,Somewhat,"A little",,"A little","A little","A little",Mostly,"A little","A little","Not at All","A little","Not at All","A little",Mostly,"A little",,"A little","A little","Not at All",Somewhat,"Not at All","A little","Not at All","Not at All","Not at All","A little",Mostly,"A little",,Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,"Not at All","Not at All","A little",Mostly,"Not at All","A little","Not at All","A little","Not at All",Somewhat,Mostly,"A little",
"Jul 18, 2023",5655230378707770705,162.229.180.78,"Very much","Very much",Somewhat,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much",Mostly,Mostly,,"Very much",Mostly,Mostly,Mostly,"Very much","Very much","Very much","Very much","Very much","Very much",Mostly,Mostly,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"Not at All",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,"Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All",Gross.
"Jul 17, 2023",5654176628509265224,129.72.170.58,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,"A little","A little",Mostly,Somewhat,,Somewhat,"A little","A little",Somewhat,Somewhat,"A little",Somewhat,Somewhat,Somewhat,"A little","A little",Somewhat,"Good features of this one relies on understanding of x, y = y, x + y",Mostly,Somewhat,Somewhat,Somewhat,Somewhat,"A little","A little",Somewhat,"A little","A little",Mostly,Somewhat,"Adding 0 is not elegant","A little","A little","A little","A little","A little","A little","A little","A little","A little","A little","A little",Somewhat,,"Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Not at All","Does not expose limits, etc."
