filesource,problem_num,filename,chatgpt_score
aks47u,54,PE054_Poker_hands.java,4
aks47u,74,PE074_Digit_factorial_chains.java,3
AlgoSolutions,1,pe001.py,4
AlgoSolutions,2,pe002.py,4
AlgoSolutions,74,pe074.py,4
AnathLab,2,Problem_2.cpp,4
HackerRankProjectEuler,2,002.cpp,3
hacktoberfest-projecteuler,1,solution.c,4
hacktoberfest-projecteuler,1,solution.java,3
nayuki-Project-Euler-solutions,1,p001.java,4
nayuki-Project-Euler-solutions,1,p001.py,4
nayuki-Project-Euler-solutions,2,p002.java,4
nayuki-Project-Euler-solutions,2,p002.py,4
nayuki-Project-Euler-solutions,54,p054_short.java,3
nayuki-Project-Euler-solutions,54,p054_short.py,4
nayuki-Project-Euler-solutions,74,p074.java,4
nayuki-Project-Euler-solutions,74,p074.py,3
project-euler-python,54,p054.py,3
stbrumme,54,euler-0054.cpp,4
stbrumme,74,euler-0074.cpp,
