filesource,problem_num,filename,chatgptscore_raw,chatgptscore2
aks47u,54,PE054_Poker_hands.java,7,3.5
aks47u,74,PE074_Digit_factorial_chains.java,7,3.5
AlgoSolutions,1,pe001.py,9,4.5
AlgoSolutions,2,pe002.py,7,3.5
AlgoSolutions,74,pe074.py,7,3.5
AnathLab,2,Problem_2.cpp,7,3.5
HackerRankProjectEuler,2,002.cpp,7,3.5
hacktoberfest-projecteuler,1,solution.c,7,3.5
hacktoberfest-projecteuler,1,solution.java,7,3.5
nayuki-Project-Euler-solutions,1,p001.java,7,3.5
nayuki-Project-Euler-solutions,1,p001.py,6,3
nayuki-Project-Euler-solutions,2,p002.java,7.5,3.75
nayuki-Project-Euler-solutions,2,p002.py,8,4
nayuki-Project-Euler-solutions,54,p054_short.java,7,3.5
nayuki-Project-Euler-solutions,54,p054_short.py,7,3.5
nayuki-Project-Euler-solutions,74,p074.java,7,3.5
nayuki-Project-Euler-solutions,74,p074.py,6,3
project-euler-python,54,p054.py,8,4
stbrumme,54,euler-0054.cpp,7,3.5
stbrumme,74,euler-0074.cpp,7,3.5
