filesource,problem_num,filename,nloc_pygount,comment_count,empty_count,nloc_lizard,token_count,num_functions,min_func_cc,max_func_cc,avg_func_cc,min_token_count,max_token_count,avg_token_count,mm_comment_ratio,mm_cyclomatic_complexity,mm_fanout_external,mm_fanout_internal,mm_halstead_bugprop,mm_halstead_difficulty,mm_halstead_effort,mm_halstead_timerequired,mm_halstead_volume,mm_loc,mm_maintainability_index,mm_operands_sum,mm_operands_uniq,mm_operators_sum,mm_operators_uniq,mm_pylint,mm_tiobe,mm_tiobe_compiler,mm_tiobe_complexity,mm_tiobe_coverage,mm_tiobe_duplication,mm_tiobe_fanout,mm_tiobe_functional,mm_tiobe_security,mm_tiobe_standard
aks47u,54,PE054_Poker_hands.java,198,52,128,252,1732,16,2,14,4.5,39,399,96.9375,23.4060967400712,10,0,0,3.86667015509899,102.081818181818,1184150.15922563,65786.1199569797,11600.010465297,1,100,591,110,1018,38,100,86.0052356020942,100,6.70157068062827,100,100,100,100,100,100
aks47u,74,PE074_Digit_factorial_chains.java,40,31,23,49,346,1,9,9,9,321,321,321,37.6294591484465,6,0,0,0.626130403134503,29.25,54942.9428750526,3052.3857152807,1878.39120940351,1,100,117,40,201,20,100,89.0167364016736,100,26.7782426778243,100,100,100,100,100,100
AlgoSolutions,1,pe001.py,9,6,4,15,81,1,4,4,4,50,50,50,40.7949790794979,7,1,0,0.116591543883062,13.40625,4689.16615554689,260.509230863716,349.774631649185,1,100,33,16,39,13,100,87.7272727272727,100,18.1818181818182,100,100,100,100,100,100
AlgoSolutions,2,pe002.py,11,7,3,18,75,1,3,3,3,44,44,44,53,6,1,0,0.103712788238302,13.8461538461538,4308.06966528332,239.337203626851,311.138364714906,1,100,30,13,37,12,100,89.0167364016736,100,26.7782426778243,100,100,100,100,100,100
AlgoSolutions,74,pe074.py,19,30,4,49,117,2,2,2,2,25,35,30,65.1428571428571,5,0,0,0.20199896988958,16.6153846153846,10068.8717298806,559.381762771145,605.99690966874,1,100,48,26,63,18,100,91,100,40,100,100,100,100,100,100
AnathLab,2,Problem_2.cpp,15,7,9,21,103,2,1,3,2,23,74,48.5,46.0674157303371,2,1,0,0.137767733629983,15.2307692307692,6294.92567509309,349.718093060727,413.30320088995,1,100,33,13,56,12,100,99.3283582089552,100,95.5223880597015,100,100,100,100,100,100
HackerRankProjectEuler,2,002.cpp,41,0,18,50,162,1,5,5,5,113,113,113,0,4,22,0,0.166421062575721,17.6428571428571,8808.42909775782,489.357172097657,499.263187727164,1,100,38,14,67,13,100,92.6073394495413,100,58.7155963302752,100,100,76,100,100,100
hacktoberfest-projecteuler,1,solution.c,12,0,8,19,95,1,5,5,5,92,92,92,0,5,1,0,0.14366215835593,17.5,7542.2633136863,419.014628538128,430.986475067789,1,100,35,12,59,12,100,91,100,40,100,100,100,100,100,100
hacktoberfest-projecteuler,1,solution.java,9,0,5,13,87,2,1,4,2.5,24,52,38,0,3,0,0,0.132111901610317,13.8666666666667,5495.85510698917,305.325283721621,396.33570483095,1,100,26,15,54,16,100,97,100,80,100,100,100,100,100,100
nayuki-Project-Euler-solutions,1,p001.java,9,4,8,13,90,2,1,4,2.5,25,52,38.5,34.8511383537653,3,0,0,0.135,13.5,5467.5,303.75,405,1,100,27,16,54,16,100,97,100,80,100,100,100,100,100,100
