idx,Submission Date_x,Submission IP,Readability,Maintainability,Extensibility,Scalability,Recognition,Convincingness,Pleasingness,Completeness,Gracefulness,Harmoniousness,Sustainability,Overall,Submission Date_y,Age,Gender,exp_w_java,exp_w_py,exp_w_c,exp_w_cpp,exp_total,Are you currently a student?,problem_num,solution_num,global_solution_num
0,"Oct 20, 2023",109.136.49.63,5,5,5,3,5,4,2,3,3,3,3,3,"Oct 20, 2023",Prefer not to answer,Prefer not to answer,0,4,0,0,5,No,1,1,1
1,"Oct 20, 2023",73.114.115.16,5,4,4,3,4,4,2,3,2,1,2,2,"Oct 20, 2023",26 - 34,Male,1,4,3,4,4,Yes - college graduate,1,1,1
2,"Oct 15, 2023",134.88.137.115,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,1,1,1
3,"Oct 14, 2023",71.232.214.48,3,1,1,1,1,1,4,4,3,1,4,3,"Oct 14, 2023",26 - 34,Male,3,3,4,4,4,Yes - college graduate,1,1,1
4,"Oct 14, 2023",24.60.90.2,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,1,1,1
5,"Oct 7, 2023",134.88.135.111,5,4,5,3,5,4,5,4,4,4,2,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,1,1,1
6,"Sep 26, 2023",134.88.143.5,5,5,4,2,5,3,2,5,2,4,3,3,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,1,1,1
7,"Sep 24, 2023",73.68.203.24,5,3,1,1,5,2,3,3,3,5,2,2,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,1,1,1
8,"Sep 17, 2023",74.104.133.99,5,5,5,2,5,5,5,5,4,5,2,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,1,1,1
9,"Aug 29, 2023",104.183.139.113,4,5,3,2,5,3,2,2,2,2,,3,"Aug 29, 2023",18 - 25,Male,2,4,1,1,4,,1,1,1
11,"Jul 26, 2023",62.16.147.205,4,4,2,2,4,2,2,3,3,4,2,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,1,1,1
