42,"average_overall",0.281
42,"total_weighted_overall",0.742
42,"lang_weighted_overall",0.012
42,"total_and_lang_weighted_overall",0.388
223,"average_overall",0.414
223,"total_weighted_overall",0.819
223,"lang_weighted_overall",0.167
223,"total_and_lang_weighted_overall",0.409
12345,"average_overall",0.335
12345,"total_weighted_overall",0.713
12345,"lang_weighted_overall",0.151
12345,"total_and_lang_weighted_overall",0.487
54321,"average_overall",0.293
54321,"total_weighted_overall",0.569
54321,"lang_weighted_overall",-0.107
54321,"total_and_lang_weighted_overall",0.145
13579,"average_overall",0.343
13579,"total_weighted_overall",0.716
13579,"lang_weighted_overall",-0.014
13579,"total_and_lang_weighted_overall",0.341
97531,"average_overall",0.024
97531,"total_weighted_overall",0.398
97531,"lang_weighted_overall",-0.075
97531,"total_and_lang_weighted_overall",0.142
101010,"average_overall",0.351
101010,"total_weighted_overall",0.541
101010,"lang_weighted_overall",0.195
101010,"total_and_lang_weighted_overall",0.434
232323,"average_overall",0.447
232323,"total_weighted_overall",0.658
232323,"lang_weighted_overall",0.283
232323,"total_and_lang_weighted_overall",0.492
123,"average_overall",0.493
123,"total_weighted_overall",0.889
123,"lang_weighted_overall",0.138
123,"total_and_lang_weighted_overall",0.549
4567,"average_overall",0.486
4567,"total_weighted_overall",0.852
4567,"lang_weighted_overall",0.087
4567,"total_and_lang_weighted_overall",0.459
